Año;Nro_Mes;Mes;Cuenta_de_Ingreso;Importe_Original;Importe_Numerico;Porcentaje_Original;Porcentaje_Numerico
2024;11;Noviembre;"MAYORISTA";"9.999.448,00";9999448;"14.34%";0.1434
2024;11;Noviembre;"MOSTRADOR";"6.048.958,62";6048958.62;"8.68%";0.0868
2024;11;Noviembre;"INSTAGRAM";"5.030.084,36";5030084.36;"7.22%";0.0722
2024;11;Noviembre;"MAYORISTA COSTO";"1.705.365,00";1705365;"2.45%";0.0245
2024;11;Noviembre;"WHATSAPP";"1.501.858,00";1501858;"2.15%";0.0215
2024;11;Noviembre;"S/D";"694.726,00";694726;"1%";0.01
2024;11;Noviembre;"NOTA CREDITO";"4.000,00";4000;"0.01%";0.0001
2024;12;Diciembre;"MERCADO LIBRE";"39.120.470,83";39120470.83;"65.49%";0.6548999999999999
2024;12;Diciembre;"MOSTRADOR";"8.207.501,99";8207501.99;"13.74%";0.1374
2024;12;Diciembre;"MAYORISTA";"7.545.499,00";7545499;"12.63%";0.1263
2024;12;Diciembre;"INSTAGRAM";"3.872.382,69";3872382.69;"6.48%";0.06480000000000001
2024;12;Diciembre;"WHATSAPP";"988.424,10";988424.1;"1.65%";0.0165
2025;01;Enero;"MERCADO LIBRE";"45.090.238,45";45090238.45;"66.38%";0.6638
2025;01;Enero;"MAYORISTA";"9.683.546,68";9683546.68;"14.26%";0.1426
2025;01;Enero;"MOSTRADOR";"6.869.933,17";6869933.17;"10.11%";0.1011
2025;01;Enero;"INSTAGRAM";"3.989.440,75";3989440.75;"5.87%";0.0587
2025;01;Enero;"WHATSAPP";"2.170.821,05";2170821.05;"3.2%";0.032
2025;01;Enero;"MAYORISTA COSTO";"103.734,36";103734.36;"0.15%";0.0015
2025;01;Enero;"CHINA MAYORISTA";"15.000,00";15000;"0.02%";0.0002
2025;02;Febrero;"MERCADO LIBRE";"30.149.126,44";30149126.44;"57.31%";0.5731
2025;02;Febrero;"MOSTRADOR";"9.750.407,89";9750407.89;"18.53%";0.18530000000000002
2025;02;Febrero;"MAYORISTA";"8.113.112,00";8113112;"15.42%";0.1542
2025;02;Febrero;"INSTAGRAM";"3.741.621,61";3741621.61;"7.11%";0.0711
2025;02;Febrero;"WHATSAPP";"714.629,63";714629.63;"1.36%";0.013600000000000001
2025;02;Febrero;"S/D";"138.090,00";138090;"0.26%";0.0026
2025;03;Marzo;"MERCADO LIBRE";"33.766.878,77";33766878.77;"60.4%";0.604
2025;03;Marzo;"MAYORISTA";"11.281.190,84";11281190.84;"20.18%";0.2018
2025;03;Marzo;"MOSTRADOR";"5.284.716,70";5284716.7;"9.45%";0.09449999999999999
2025;03;Marzo;"INSTAGRAM";"4.210.967,46";4210967.46;"7.53%";0.0753
2025;03;Marzo;"WHATSAPP";"1.043.387,89";1043387.89;"1.87%";0.0187
2025;03;Marzo;"S/D";"316.579,00";316579;"0.57%";0.005699999999999999
2025;04;Abril;"MERCADO LIBRE";"37.287.724,50";37287724.5;"64.04%";0.6404000000000001
2025;04;Abril;"MAYORISTA";"10.386.143,84";10386143.84;"17.84%";0.1784
